id,created_at,retweet_count,favorite_count,deleted,time_downloaded
1141100726510338050,2019-06-18 21:49:48.000000,0.0,1.0,0,2019-07-12 12:24
1141103315306106880,2019-06-18 22:00:05.000000,0.0,0.0,0,2019-07-12 12:24
1141108312911560704,2019-06-18 22:19:57.000000,1.0,7.0,0,2019-07-12 12:24
1141110913908576258,2019-06-18 22:30:17.000000,0.0,2.0,0,2019-07-12 12:24
1141114748878118917,2019-06-18 22:45:31.000000,1.0,0.0,0,2019-07-12 12:24
1141115788167979010,2019-06-18 22:49:39.000000,1.0,1.0,0,2019-07-12 12:24
1141115896791912448,2019-06-18 22:50:05.000000,2.0,1.0,0,2019-07-12 12:24
1141119402902990849,2019-06-18 23:04:01.000000,0.0,3.0,0,2019-07-12 12:24
1141119662253461504,2019-06-18 23:05:03.000000,0.0,0.0,0,2019-07-12 12:24
1141119693790404608,2019-06-18 23:05:10.000000,0.0,0.0,0,2019-07-12 12:24
1141119751604670465,2019-06-18 23:05:24.000000,0.0,0.0,0,2019-07-12 12:24
1141119755211833344,2019-06-18 23:05:25.000000,0.0,0.0,0,2019-07-12 12:24
1141124727563382785,2019-06-18 23:25:10.000000,1.0,0.0,0,2019-07-12 12:24
1141125227558166529,2019-06-18 23:27:09.000000,2.0,0.0,0,2019-07-12 12:24
1141125405144862720,2019-06-18 23:27:52.000000,2.0,0.0,0,2019-07-12 12:24
1141125415140040705,2019-06-18 23:27:54.000000,1.0,0.0,0,2019-07-12 12:24
1141125449487212544,2019-06-18 23:28:02.000000,2.0,0.0,0,2019-07-12 12:24
1141125875167092741,2019-06-18 23:29:44.000000,3.0,0.0,0,2019-07-12 12:24
1141131296355299329,2019-06-18 23:51:16.000000,0.0,4.0,0,2019-07-12 12:24
1141133387266236421,2019-06-18 23:59:35.000000,,,1,2019-07-12 12:24
1141133492031328256,2019-06-19 00:00:00.000000,1.0,5.0,0,2019-07-12 12:24
1141138824770330624,2019-06-19 00:21:11.000000,0.0,10.0,0,2019-07-12 12:24
1141139352506052610,2019-06-19 00:23:17.000000,2.0,8.0,0,2019-07-12 12:24
1141140147448229888,2019-06-19 00:26:27.000000,2.0,0.0,0,2019-07-12 12:24
1141141703404994561,2019-06-19 00:32:38.000000,0.0,0.0,0,2019-07-12 12:24
1141145571283079169,2019-06-19 00:48:00.000000,0.0,10.0,0,2019-07-12 12:24
1141146425524441089,2019-06-19 00:51:23.000000,0.0,6.0,0,2019-07-12 12:24
