year,month,state,frequency,sentiment
2014,8,CO,0.0,
2014,9,CO,0.0,
2014,10,CO,0.0,
2014,11,CO,0.0,
2014,12,CO,0.0,
2015,1,CO,0.0,
2015,2,CO,0.0,
2015,3,CO,0.0,
2015,4,CO,0.0,
2015,5,CO,0.0,
2015,6,CO,0.0,
2015,7,CO,0.0,
2015,8,CO,0.0,
2015,9,CO,0.0,
2015,10,CO,0.0,
2015,11,CO,0.0,
2015,12,CO,0.0,
2016,1,CO,0.0,
2016,2,CO,0.0,
2016,3,CO,0.0,
2016,4,CO,0.0,
2016,5,CO,0.0,
2016,6,CO,0.0,
2016,7,CO,0.0,
2016,8,CO,0.0,
2016,9,CO,0.0,
2016,10,CO,0.0,
2016,11,CO,0.0,
2016,12,CO,0.0,
2017,1,CO,0.0,
2017,2,CO,0.0,
2017,3,CO,0.0,
2017,4,CO,0.0,
2017,5,CO,0.0,
2017,6,CO,0.0,
2017,7,CO,7.0,0.0535714285714286
2017,8,CO,6.0,0.0916666666666667
2017,9,CO,8.0,0.03125
2017,10,CO,6.0,0.0
2017,11,CO,7.0,0.225714285714286
2017,12,CO,14.0,0.246984126984127
2018,1,CO,17.0,0.199313725490196
2018,2,CO,4.0,0.441666666666667
2018,3,CO,9.0,0.131944444444444
2018,4,CO,1.0,0.15
2018,5,CO,3.0,0.0297569444444444
2018,6,CO,7.0,0.0285714285714286
2018,7,CO,12.0,0.152118055555556
2018,8,CO,1.0,0.108333333333333
2018,9,CO,5.0,0.15575
2018,10,CO,2.0,0.0995833333333333
2018,11,CO,0.0,
2018,12,CO,0.0,
2019,1,CO,0.0,
2019,2,CO,0.0,
2019,3,CO,0.0,
2019,4,CO,0.0,
2019,5,CO,0.0,
2019,6,CO,2.0,0.0
2019,7,CO,5.0,0.337047619047619
2019,8,CO,0.0,
2019,9,CO,0.0,
2019,10,CO,0.0,
2019,11,CO,0.0,
2019,12,CO,0.0,
2020,1,CO,0.0,
2012,1,CT,0.0,
2012,2,CT,0.0,
2012,3,CT,0.0,
2012,4,CT,0.0,
2012,5,CT,0.0,
2012,6,CT,0.0,
2012,7,CT,0.0,
2012,8,CT,0.0,
2012,9,CT,0.0,
2012,10,CT,0.0,
2012,11,CT,0.0,
2012,12,CT,0.0,
2013,1,CT,0.0,
2013,2,CT,0.0,
2013,3,CT,0.0,
2013,4,CT,0.0,
2013,5,CT,0.0,
2013,6,CT,0.0,
2013,7,CT,0.0,
2013,8,CT,0.0,
2013,9,CT,0.0,
2013,10,CT,0.0,
2013,11,CT,0.0,
2013,12,CT,0.0,
2014,1,CT,0.0,
2014,2,CT,0.0,
2014,3,CT,0.0,
2014,4,CT,0.0,
2014,5,CT,0.0,
2014,6,CT,0.0,
2014,7,CT,0.0,
2014,8,CT,0.0,
2014,9,CT,0.0,
2014,10,CT,0.0,
2014,11,CT,0.0,
2014,12,CT,0.0,
2015,1,CT,0.0,
2015,2,CT,0.0,
2015,3,CT,0.0,
2015,4,CT,0.0,
2015,5,CT,0.0,
2015,6,CT,0.0,
2015,7,CT,0.0,
2015,8,CT,0.0,
2015,9,CT,0.0,
2015,10,CT,0.0,
2015,11,CT,0.0,
2015,12,CT,0.0,
2016,1,CT,0.0,
2016,2,CT,0.0,
2016,3,CT,0.0,
2016,4,CT,0.0,
2016,5,CT,0.0,
2016,6,CT,0.0,
2016,7,CT,0.0,
2016,8,CT,0.0,
2016,9,CT,0.0,
2016,10,CT,0.0,
2016,11,CT,0.0,
2016,12,CT,0.0,
2017,1,CT,0.0,
2017,2,CT,0.0,
2017,3,CT,0.0,
2017,4,CT,0.0,
2017,5,CT,0.0,
2017,6,CT,0.0,
2017,7,CT,7.0,0.0976190476190476
2017,8,CT,2.0,0.125
2017,9,CT,2.0,0.151515151515151
2017,10,CT,2.0,0.0625
2017,11,CT,1.0,0.175
2017,12,CT,8.0,0.1375
2018,1,CT,11.0,0.139307359307359
2018,2,CT,2.0,0.105555555555556
2018,3,CT,12.0,0.0965564738292011
2018,4,CT,6.0,0.177638888888889
2018,5,CT,5.0,0.133333333333333
2018,6,CT,3.0,0.158333333333333
2018,7,CT,7.0,0.0142857142857143
2018,8,CT,2.0,0.183630952380952
2018,9,CT,1.0,0.136363636363636
2018,10,CT,1.0,0.15625
2018,11,CT,0.0,
2018,12,CT,0.0,
2019,1,CT,0.0,
2019,2,CT,0.0,
2019,3,CT,0.0,
2019,4,CT,0.0,
2019,5,CT,0.0,
2019,6,CT,1.0,0.0
2019,7,CT,4.0,0.225334821428571
2019,8,CT,0.0,
2019,9,CT,0.0,
2019,10,CT,0.0,
2019,11,CT,0.0,
2019,12,CT,0.0,
2020,1,CT,0.0,
2012,1,DE,0.0,
2012,2,DE,0.0,
2012,3,DE,0.0,
2012,4,DE,0.0,
2012,5,DE,0.0,
2012,6,DE,0.0,
2012,7,DE,0.0,
2012,8,DE,0.0,
2012,9,DE,0.0,
2012,10,DE,0.0,
2012,11,DE,0.0,
2012,12,DE,0.0,
2013,1,DE,0.0,
2013,2,DE,0.0,
2013,3,DE,0.0,
2013,4,DE,0.0,
2013,5,DE,0.0,
2013,6,DE,0.0,
2013,7,DE,0.0,
2013,8,DE,0.0,
2013,9,DE,0.0,
2013,10,DE,0.0,
2013,11,DE,0.0,
2013,12,DE,0.0,
2014,1,DE,0.0,
2014,2,DE,0.0,
2014,3,DE,0.0,
2014,4,DE,0.0,
2014,5,DE,0.0,
2014,6,DE,0.0,
2014,7,DE,0.0,
2014,8,DE,0.0,
2014,9,DE,0.0,
2014,10,DE,0.0,
2014,11,DE,0.0,
2014,12,DE,0.0,
2015,1,DE,0.0,
2015,2,DE,0.0,
2015,3,DE,0.0,
2015,4,DE,0.0,
2015,5,DE,0.0,
2015,6,DE,0.0,
2015,7,DE,0.0,
2015,8,DE,0.0,
2015,9,DE,0.0,
2015,10,DE,0.0,
2015,11,DE,0.0,
2015,12,DE,0.0,
2016,1,DE,0.0,
2016,2,DE,0.0,
2016,3,DE,0.0,
2016,4,DE,0.0,
2016,5,DE,0.0,
2016,6,DE,0.0,
2016,7,DE,0.0,
2016,8,DE,0.0,
2016,9,DE,0.0,
2016,10,DE,0.0,
2016,11,DE,0.0,
2016,12,DE,0.0,
2017,1,DE,0.0,
2017,2,DE,0.0,
2017,3,DE,0.0,
2017,4,DE,0.0,
2017,5,DE,0.0,
2017,6,DE,0.0,
2017,7,DE,2.0,0.05
2017,8,DE,1.0,0.0
2017,9,DE,1.0,0.0
2017,10,DE,0.0,
2017,11,DE,1.0,0.166666666666667
2017,12,DE,0.0,
2018,1,DE,3.0,0.101944444444444
2018,2,DE,0.0,
2018,3,DE,7.0,0.0214285714285714
2018,4,DE,0.0,
2018,5,DE,3.0,0.175555555555556
2018,6,DE,1.0,0.43125
2018,7,DE,0.0,
2018,8,DE,1.0,0.0861111111111111
2018,9,DE,0.0,
2018,10,DE,1.0,0.0
2018,11,DE,0.0,
2018,12,DE,0.0,
2019,1,DE,0.0,
2019,2,DE,0.0,
2019,3,DE,0.0,
2019,4,DE,0.0,
2019,5,DE,0.0,
2019,6,DE,3.0,0.333611111111111
2019,7,DE,10.0,0.122541666666667
2019,8,DE,0.0,
2019,9,DE,0.0,
2019,10,DE,0.0,
2019,11,DE,0.0,
2019,12,DE,0.0,
2020,1,DE,0.0,
2012,1,FL,0.0,
2012,2,FL,0.0,
2012,3,FL,0.0,
2012,4,FL,0.0,
2012,5,FL,0.0,
2012,6,FL,0.0,
2012,7,FL,0.0,
2012,8,FL,0.0,
2012,9,FL,0.0,
2012,10,FL,0.0,
2012,11,FL,0.0,
2012,12,FL,0.0,
2013,1,FL,0.0,
2013,2,FL,0.0,
2013,3,FL,0.0,
2013,4,FL,0.0,
2013,5,FL,0.0,
2013,6,FL,0.0,
2013,7,FL,0.0,
2013,8,FL,0.0,
2013,9,FL,0.0,
2013,10,FL,0.0,
2013,11,FL,0.0,
2013,12,FL,0.0,
2014,1,FL,0.0,
2014,2,FL,0.0,
2014,3,FL,0.0,
2014,4,FL,0.0,
2014,5,FL,0.0,
2014,6,FL,0.0,
2014,7,FL,0.0,
2014,8,FL,0.0,
2014,9,FL,0.0,
2014,10,FL,0.0,
2014,11,FL,0.0,
2014,12,FL,0.0,
2015,1,FL,0.0,
2015,2,FL,0.0,
2015,3,FL,0.0,
2015,4,FL,0.0,
2015,5,FL,0.0,
2015,6,FL,0.0,
2015,7,FL,0.0,
2015,8,FL,0.0,
2015,9,FL,0.0,
2015,10,FL,0.0,
2015,11,FL,0.0,
2015,12,FL,0.0,
2016,1,FL,0.0,
2016,2,FL,0.0,
2016,3,FL,0.0,
2016,4,FL,0.0,
2016,5,FL,0.0,
2016,6,FL,0.0,
2016,7,FL,0.0,
2016,8,FL,0.0,
2016,9,FL,0.0,
2016,10,FL,0.0,
2016,11,FL,0.0,
2016,12,FL,0.0,
2017,1,FL,0.0,
2017,2,FL,0.0,
2017,3,FL,0.0,
2017,4,FL,0.0,
2017,5,FL,0.0,
