year,month,state,frequency,sentiment
2018,8,CA,46.0,0.0798886967501098
2018,9,CA,56.0,0.0809156348776884
2018,10,CA,40.0,-0.0275966134559884
2018,11,CA,0.0,
2018,12,CA,0.0,
2019,1,CA,0.0,
2019,2,CA,0.0,
2019,3,CA,0.0,
2019,4,CA,0.0,
2019,5,CA,0.0,
2019,6,CA,15.0,0.0772849927849928
2019,7,CA,29.0,0.102085220016254
2019,8,CA,0.0,
2019,9,CA,0.0,
2019,10,CA,0.0,
2019,11,CA,0.0,
2019,12,CA,0.0,
2020,1,CA,0.0,
2012,1,CO,0.0,
2012,2,CO,0.0,
2012,3,CO,0.0,
2012,4,CO,0.0,
2012,5,CO,0.0,
2012,6,CO,0.0,
2012,7,CO,0.0,
2012,8,CO,0.0,
2012,9,CO,0.0,
2012,10,CO,0.0,
2012,11,CO,0.0,
2012,12,CO,0.0,
2013,1,CO,0.0,
2013,2,CO,0.0,
2013,3,CO,0.0,
2013,4,CO,0.0,
2013,5,CO,0.0,
2013,6,CO,0.0,
2013,7,CO,0.0,
2013,8,CO,0.0,
2013,9,CO,0.0,
2013,10,CO,0.0,
2013,11,CO,0.0,
2013,12,CO,0.0,
2014,1,CO,0.0,
2014,2,CO,0.0,
2014,3,CO,0.0,
2014,4,CO,0.0,
2014,5,CO,0.0,
2014,6,CO,0.0,
2014,7,CO,0.0,
2014,8,CO,0.0,
2014,9,CO,0.0,
2014,10,CO,0.0,
2014,11,CO,0.0,
2014,12,CO,0.0,
2015,1,CO,0.0,
2015,2,CO,0.0,
2015,3,CO,0.0,
2015,4,CO,0.0,
2015,5,CO,0.0,
2015,6,CO,0.0,
2015,7,CO,0.0,
2015,8,CO,0.0,
2015,9,CO,0.0,
2015,10,CO,0.0,
2015,11,CO,0.0,
2015,12,CO,0.0,
2016,1,CO,0.0,
2016,2,CO,0.0,
2016,3,CO,0.0,
2016,4,CO,0.0,
2016,5,CO,0.0,
2016,6,CO,0.0,
2016,7,CO,0.0,
2016,8,CO,0.0,
2016,9,CO,0.0,
2016,10,CO,0.0,
2016,11,CO,0.0,
2016,12,CO,0.0,
2017,1,CO,0.0,
2017,2,CO,0.0,
2017,3,CO,0.0,
2017,4,CO,0.0,
2017,5,CO,0.0,
2017,6,CO,0.0,
2017,7,CO,14.0,-0.0938392857142857
2017,8,CO,15.0,0.00625
2017,9,CO,31.0,-0.0165930619559652
2017,10,CO,23.0,-0.0646183300395257
2017,11,CO,13.0,-0.00916132478632479
2017,12,CO,14.0,-0.0303943452380952
2018,1,CO,9.0,-0.038912037037037
2018,2,CO,16.0,0.102743055555556
2018,3,CO,16.0,0.100233585858586
2018,4,CO,43.0,-0.0765027070259629
2018,5,CO,18.0,0.0231992210464433
2018,6,CO,13.0,0.00653846153846154
2018,7,CO,12.0,0.0370717592592593
2018,8,CO,38.0,0.100765929976456
2018,9,CO,15.0,0.0197856541606542
2018,10,CO,6.0,0.0390046296296296
2018,11,CO,0.0,
2018,12,CO,0.0,
2019,1,CO,0.0,
2019,2,CO,0.0,
2019,3,CO,0.0,
2019,4,CO,0.0,
2019,5,CO,0.0,
2019,6,CO,11.0,0.152165977961432
2019,7,CO,8.0,0.0572048611111111
2019,8,CO,0.0,
2019,9,CO,0.0,
2019,10,CO,0.0,
2019,11,CO,0.0,
2019,12,CO,0.0,
2020,1,CO,0.0,
2012,1,CT,0.0,
2012,2,CT,0.0,
2012,3,CT,0.0,
2012,4,CT,0.0,
2012,5,CT,0.0,
2012,6,CT,0.0,
2012,7,CT,0.0,
2012,8,CT,0.0,
2012,9,CT,0.0,
2012,10,CT,0.0,
2012,11,CT,0.0,
2012,12,CT,0.0,
2013,1,CT,0.0,
2013,2,CT,0.0,
2013,3,CT,0.0,
2013,4,CT,0.0,
2013,5,CT,0.0,
2013,6,CT,0.0,
2013,7,CT,0.0,
2013,8,CT,0.0,
2013,9,CT,0.0,
2013,10,CT,0.0,
2013,11,CT,0.0,
2013,12,CT,0.0,
2014,1,CT,0.0,
2014,2,CT,0.0,
2014,3,CT,0.0,
2014,4,CT,0.0,
2014,5,CT,0.0,
2014,6,CT,0.0,
2014,7,CT,0.0,
2014,8,CT,0.0,
2014,9,CT,0.0,
2014,10,CT,0.0,
2014,11,CT,0.0,
2014,12,CT,0.0,
2015,1,CT,0.0,
2015,2,CT,0.0,
2015,3,CT,0.0,
2015,4,CT,0.0,
2015,5,CT,0.0,
2015,6,CT,0.0,
2015,7,CT,0.0,
2015,8,CT,0.0,
2015,9,CT,0.0,
2015,10,CT,0.0,
2015,11,CT,0.0,
2015,12,CT,0.0,
2016,1,CT,0.0,
2016,2,CT,0.0,
2016,3,CT,0.0,
2016,4,CT,0.0,
2016,5,CT,0.0,
2016,6,CT,0.0,
2016,7,CT,0.0,
2016,8,CT,0.0,
2016,9,CT,0.0,
2016,10,CT,0.0,
2016,11,CT,0.0,
2016,12,CT,0.0,
2017,1,CT,0.0,
2017,2,CT,0.0,
2017,3,CT,0.0,
2017,4,CT,0.0,
2017,5,CT,0.0,
2017,6,CT,0.0,
2017,7,CT,6.0,0.00606060606060606
2017,8,CT,6.0,-0.0336805555555556
2017,9,CT,8.0,0.034375
2017,10,CT,7.0,-0.171130952380952
2017,11,CT,4.0,-0.0643353174603175
2017,12,CT,5.0,0.155
2018,1,CT,4.0,-0.0635416666666667
2018,2,CT,6.0,0.0111111111111111
2018,3,CT,13.0,0.0615976331360947
2018,4,CT,22.0,-0.0839309764309764
2018,5,CT,11.0,-0.0327272727272727
2018,6,CT,4.0,0.0606770833333333
2018,7,CT,4.0,0.0825
2018,8,CT,14.0,0.0283304988662131
2018,9,CT,3.0,0.0770833333333333
2018,10,CT,1.0,-0.8
2018,11,CT,0.0,
2018,12,CT,0.0,
2019,1,CT,0.0,
